"","Genes","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"8435","RAB14",2.42416993194369e-05,0.836133405130555,0.208,0.2,0.390412567539531
"8436","GCNT4",2.44569741889101e-05,-0.853696992101773,0.003,0.01,0.393879569312397
"8437","DFFA",2.46303512433774e-05,0.563050438238739,0.067,0.09,0.396671806774593
"8438","TMEM68",2.47189329061561e-05,0.427227804574271,0.04,0.057,0.398098414453644
"8439","MIER2",2.47996574535149e-05,0.359231496935536,0.021,0.034,0.399398483288857
"8440","GTF2H3",2.48959820446589e-05,0.30489725330857,0.041,0.058,0.400949790829232
"8441","ZBED1",2.54789263577393e-05,0.467259461979368,0.046,0.065,0.410338108991392
"8442","PIGN",2.57672493713983e-05,0.261211296647312,0.026,0.04,0.414981551126369
"8443","POLE2",2.57739401175607e-05,0.503089091379592,0.006,0.014,0.415089305593316
"8444","APTX",2.59590486653505e-05,0.399497410703957,0.057,0.077,0.41807047875547
"8445","STC1",2.64714917813615e-05,-1.86650023320167,0.003,0.01,0.426323375138828
"8446","MARK3",2.65428409493786e-05,0.298716409620337,0.106,0.136,0.427472453489742
"8447","MAGOHB",2.65434591519524e-05,0.538397040729485,0.08,0.106,0.427482409642193
"8448","BUD13",2.67224765329363e-05,0.285551523334071,0.032,0.047,0.430365484562939
"8449","ARHGAP32",2.70291631559944e-05,0.613783215341901,0.023,0.037,0.435304672627289
"8450","ZNF551",2.72916551106211e-05,-0.213287501304375,0.008,0.017,0.439532105556552
"8451","RAB3A",2.74106886355062e-05,0.166204311958027,0.014,0.024,0.441449140474828
"8452","CYP39A1",2.7532127766631e-05,-0.703976499000739,0.004,0.011,0.443404917681592
"8453","PPP1R11",2.80328652732811e-05,0.440899734832125,0.153,0.194,0.451469295226192
"8454","RUNDC1",2.80520730240327e-05,0.199661248078439,0.034,0.049,0.451778636052047
"8455","ADNP",2.82880092669188e-05,0.439457843018582,0.069,0.092,0.455578389243727
"8456","PLEKHF2",2.83616449891191e-05,0.23252263368214,0.08,0.104,0.456764292549762
"8457","ERCC6",2.84637800612573e-05,-0.109298774567184,0.017,0.028,0.458409177886549
"8458","UBXN8",2.85635755879191e-05,1.51797955121776,0.045,0.033,0.460016384843438
"8459","IFT20",2.88897406002225e-05,0.516485570859174,0.119,0.152,0.465269272366583
"8460","MTG2",2.89340886511702e-05,0.433372704924862,0.032,0.047,0.465983497727096
"8461","TMEM91",2.89554949734906e-05,1.24817831236058,0.038,0.027,0.466328246548067
"8462","SCARF1",2.90093852450058e-05,-0.55922784112945,0.005,0.012,0.467196149370819
"8463","GMEB1",2.97454288783767e-05,0.298849250216247,0.042,0.059,0.479050132086257
"8464","PON3",2.97763692380286e-05,2.36259157523616,0.012,0.007,0.479548426578451
"8465","RABIF",2.99332047347517e-05,0.341930231080466,0.065,0.087,0.482074262253176
"8466","C5orf30",2.99914794102825e-05,0.597965653199546,0.028,0.043,0.4830127759026
"8467","CACHD1",3.0220183692068e-05,-0.213055309261625,0.005,0.012,0.486696058360756
"8468","FANCE",3.03699592374455e-05,-0.3685599629646,0.006,0.013,0.489108193519059
"8469","ZNF785",3.06914196614489e-05,0.103721018480966,0.013,0.024,0.494285313647634
"8470","PALD1",3.11678982916887e-05,-0.333364961959142,0.005,0.013,0.501959001987647
"8471","TAF4",3.16465388712861e-05,0.273567814271309,0.012,0.022,0.509667508522063
"8472","UBR7",3.17638304613471e-05,0.309419310842886,0.033,0.048,0.511556489579996
"8473","COLEC11",3.19522985303362e-05,-0.842831034507427,0.003,0.01,0.514591767831065
"8474","DHX33",3.20329355855128e-05,0.398434677754583,0.023,0.036,0.515890427604683
"8475","TAF8",3.22400480027119e-05,0.288349438833244,0.042,0.059,0.519225973083675
"8476","ZNF599",3.24867977591242e-05,0.310526291732906,0.012,0.021,0.523199877910696
"8477","CLUAP1",3.2795357087196e-05,1.29442538044106,0.064,0.051,0.528169225889291
"8478","ZNF879",3.28636836902011e-05,1.33746035132109,0.014,0.008,0.529269625830688
"8479","NDUFS7",3.29728790134358e-05,0.252057315609737,0.283,0.352,0.531028216511383
"8480","SZT2",3.29934336401288e-05,0.163707496449505,0.022,0.035,0.531359248774274
"8481","NDUFA9",3.3103936103837e-05,0.336624838627828,0.137,0.173,0.533138890952295
"8482","AKR7A2",3.31417285489107e-05,0.494375002375657,0.159,0.202,0.533747538280207
"8483","PAIP1",3.36222331360579e-05,1.03961374050911,0.167,0.157,0.541486064656212
"8484","ZNF143",3.38507770127686e-05,0.14544713750449,0.037,0.052,0.545166763790638
"8485","SNX17",3.39169602395743e-05,0.386871945369527,0.175,0.221,0.546232644658345
"8486","NDE1",3.39170208467827e-05,0.857920575472469,0.104,0.088,0.546233620737436
"8487","ZRSR2",3.40481233183732e-05,0.107351538319805,0.056,0.075,0.548345026042401
"8488","NUP133",3.40668259330237e-05,0.184717700101639,0.04,0.056,0.548646231651346
"8489","SEC22A",3.40833125790241e-05,1.16401317482972,0.052,0.04,0.548911749085182
"8490","POLR2E",3.40905842928885e-05,0.406039567341522,0.223,0.28,0.54902886003697
"8491","TUFM",3.42213828461793e-05,0.227844643881599,0.3,0.373,0.551135370737717
"8492","PINLYP",3.45647689624381e-05,1.78446905659741,0.025,0.017,0.556665604140066
"8493","NOL9",3.46748307843482e-05,0.305509625359129,0.038,0.055,0.558438149781927
"8494","KCNMB1",3.48537818290337e-05,-1.07624791027324,0.011,0.021,0.561320156356587
"8495","MPHOSPH8",3.51050003021227e-05,0.312086821823557,0.262,0.329,0.565366029865687
"8496","GPATCH8",3.52242988241677e-05,0.798308994504689,0.162,0.148,0.567287332563221
"8497","ACADSB",3.5282606167034e-05,0.368442754956504,0.022,0.035,0.568226372320082
"8498","ZBTB5",3.57705962397658e-05,0.11039225245297,0.01,0.02,0.576085452441429
"8499","EIF1AX",3.62685929019455e-05,0.631446964516795,0.342,0.362,0.584105688685832
"8500","SAYSD1",3.62725813633867e-05,0.520439361448266,0.044,0.062,0.584169922857343
"8501","GJA4",3.6646348285915e-05,-2.15053447731621,0.003,0.01,0.59018943914466
"8502","UMPS",3.66907631678421e-05,0.460077561217819,0.045,0.063,0.590904740818098
"8503","NCOA4",3.68763120922166e-05,0.437335452988072,0.119,0.152,0.593893006245148
"8504","BCAR1",3.70848080533445e-05,0.347634451844535,0.044,0.062,0.597250833699113
"8505","HOXC6",3.71287488059343e-05,-0.42564690202285,0.014,0.025,0.597958499519572
"8506","RAP2A",3.72689849663474e-05,0.364123643014425,0.028,0.041,0.600217002883025
"8507","ANGEL2",3.76101357933769e-05,0.230799226287044,0.043,0.06,0.605711236952335
"8508","BRI3",3.79357294118458e-05,0.725385795205436,0.203,0.193,0.610954922177777
"8509","SLC10A3",3.79703764082036e-05,0.311976140713999,0.054,0.073,0.611512912054119
"8510","IPO4",3.80313420436084e-05,0.125002900853895,0.012,0.022,0.612494763612313
"8511","ARHGAP42",3.84423415536683e-05,1.42976278946796,0.033,0.024,0.619113910721828
"8512","PLEKHA8",3.84831453662062e-05,0.172824767147792,0.013,0.024,0.619771056122752
"8513","MRPS7",3.85417482587524e-05,0.431077983345786,0.169,0.213,0.620714855707208
"8514","TTC7B",3.87295077525462e-05,1.9393716992789,0.015,0.009,0.623738722354756
"8515","WDR76",3.90526575541141e-05,0.13615436827598,0.017,0.029,0.628943049909007
"8516","ANKRD36",3.91856319274222e-05,0.258294112425106,0.068,0.09,0.631084602191135
"8517","EVA1C",3.92112910886196e-05,-0.413649628011203,0.01,0.02,0.631497842982218
"8518","SORBS3",3.95837977446788e-05,0.488844351294296,0.081,0.106,0.637497062678053
"8519","OCEL1",3.98683399496379e-05,1.16107836888764,0.099,0.085,0.642079614888918
"8520","DDX49",3.98804531182892e-05,0.372243586851298,0.069,0.092,0.642274697470047
"8521","PFDN4",3.99821383014894e-05,0.921743507365179,0.189,0.18,0.643912337345487
"8522","TPCN1",4.09969393217137e-05,0.378839856344761,0.033,0.048,0.6602557077762
"8523","CCDC15",4.10016747229352e-05,-0.977012207407604,0.004,0.011,0.660331971412872
"8524","ZNF471",4.13954778625028e-05,1.92457234509203,0.013,0.007,0.666674170975607
"8525","PPOX",4.14960037048778e-05,0.461747854151148,0.03,0.044,0.668293139667057
"8526","THAP7",4.15682723552243e-05,0.449079730553994,0.091,0.118,0.669457026280887
"8527","TMEM106B",4.22223527826916e-05,0.986915573601207,0.148,0.135,0.679990991565248
"8528","LRRC45",4.22299521704873e-05,0.276096316677727,0.019,0.031,0.680113379705698
"8529","PAPSS2",4.23838857043568e-05,0.409629409964771,0.042,0.06,0.682592479268667
"8530","DCUN1D2",4.24136721777739e-05,-0.14537007281109,0.005,0.013,0.683072190423048
"8531","TRIM39",4.24968958919256e-05,-0.269831805964116,0.023,0.036,0.684412508339462
"8532","CHTOP",4.25868906022606e-05,0.916958524273301,0.179,0.169,0.685861873149408
"8533","TMEM41B",4.29216290147862e-05,0.429437276569187,0.068,0.09,0.691252835283133
"8534","MRAS",4.33151727368381e-05,1.5582798059734,0.022,0.014,0.697590856926778
"8535","ERLIN2",4.33706300998309e-05,0.500568017044826,0.036,0.051,0.698483997757776
"8536","HTRA2",4.34930842399298e-05,1.17040234054058,0.111,0.098,0.70045612168407
"8537","PRKX",4.35457124385589e-05,0.182260621862374,0.06,0.079,0.701303698822991
"8538","TMEM39A",4.37825683601061e-05,0.448753256236042,0.056,0.075,0.705118263439509
"8539","YY1AP1",4.40751294993498e-05,0.485810191228694,0.068,0.09,0.709829960587029
"8540","PIGX",4.40772600682647e-05,0.482082476685471,0.064,0.085,0.709864273399403
"8541","SMIM7",4.41578770232696e-05,0.889220806668818,0.227,0.225,0.711162609459757
"8542","HGSNAT",4.43308558355415e-05,1.14751270468155,0.088,0.074,0.713948433231396
"8543","GNPDA2",4.45149131465485e-05,1.04680977021306,0.057,0.045,0.716912676225164
"8544","COPG1",4.5275327903808e-05,0.559278422693355,0.082,0.106,0.729159155890828
"8545","PAK1IP1",4.55870758925242e-05,1.20420857063847,0.086,0.072,0.734179857249102
"8546","ERLEC1",4.56994385290662e-05,0.416435733262312,0.161,0.202,0.735989457510612
"8547","RIMKLB",4.57486573749812e-05,0.304741895678752,0.032,0.046,0.736782127024072
"8548","EPHA3",4.61020912572961e-05,1.33741495683059,0.014,0.008,0.742474179698753
"8549","PGGT1B",4.64187153545198e-05,0.30635803810821,0.052,0.07,0.747573410784541
"8550","PSEN1",4.69465914395464e-05,0.420350452503276,0.066,0.088,0.756074855133894
