"","Genes","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"2451","NIN",2.62842835703763e-43,-1.18911025226,0.034,0.104,4.2330838690091e-39
"2452","MT1F",2.77659577529806e-43,0.744853566498511,0.183,0.116,4.47170749611752e-39
"2453","CUTA",2.89249933430866e-43,-0.13139551237556,0.337,0.506,4.6583701779041e-39
"2454","CCNT1",2.89738385340192e-43,-0.997544152460037,0.03,0.098,4.6662366959038e-39
"2455","GZMB",2.94339687102257e-43,-5.68430969239103,0.002,0.051,4.74034066078185e-39
"2456","RRP1B",3.33294763841215e-43,-1.01940404050783,0.029,0.096,5.36771217166277e-39
"2457","PVT1",3.45214008779294e-43,-3.80479135911818,0.003,0.053,5.55967161139054e-39
"2458","ORMDL3",3.82136321195634e-43,-1.15109475631355,0.03,0.098,6.15430545285568e-39
"2459","CPNE5",3.82512702351401e-43,-4.22494926571971,0.002,0.05,6.16036707136931e-39
"2460","SLC4A7",3.8262860645094e-43,-1.39173870473236,0.025,0.089,6.16223370689239e-39
"2461","CIB1",4.00635373491172e-43,-0.306541048459281,0.253,0.388,6.45223269007532e-39
"2462","ALOX5",4.25444019718036e-43,-4.62469160221984,0.002,0.05,6.85177593755896e-39
"2463","LYZ",4.30864099487398e-43,-4.90740168977373,0.017,0.076,6.93906632224455e-39
"2464","CD99",4.49057940300084e-43,0.588154739007502,0.542,0.513,7.23207812853286e-39
"2465","CYB561A3",4.62632762119668e-43,-0.969869497827401,0.042,0.115,7.45070063393726e-39
"2466","HLA-DQB1",4.63717633602365e-43,0.357091470422538,0.291,0.2,7.46817248916609e-39
"2467","ODF2L",4.7243832598568e-43,-0.740729420414309,0.098,0.19,7.60861923999938e-39
"2468","NCK2",5.5464225960634e-43,-1.3964024255463,0.018,0.079,8.93251359096011e-39
"2469","DUSP4",5.55104983423323e-43,-2.90289825970202,0.014,0.071,8.93996575803261e-39
"2470","REXO2",5.62399877625839e-43,1.36171230801526,0.255,0.193,9.05745002916415e-39
"2471","MAN1A1",5.65640511841796e-43,-1.37748305103058,0.017,0.077,9.10964044321213e-39
"2472","RMI2",5.7583854541811e-43,-4.71920036695882,0.001,0.049,9.27387977395867e-39
"2473","SPATS2",5.87757843292788e-43,-0.463773755794848,0.051,0.129,9.46584006623035e-39
"2474","EFEMP1",5.93028382179929e-43,-3.27915589012853,0.007,0.06,9.55072209500775e-39
"2475","BRI3BP",6.34099688199424e-43,-1.50412143138102,0.015,0.073,1.02121754784517e-38
"2476","TNFRSF13B",6.65002542452608e-43,-4.56050113428156,0.002,0.05,1.07098659461993e-38
"2477","CERS2",7.2152475376059e-43,1.51973696108989,0.177,0.117,1.16201561593143e-38
"2478","MATN3",8.04707125811983e-43,3.07853772366508,0.015,0.003,1.2959808261202e-38
"2479","MICAL1",8.18001322235551e-43,-1.81716656073736,0.016,0.075,1.31739112946036e-38
"2480","PACSIN3",8.58549782373462e-43,2.44060131207749,0.068,0.031,1.38269442451246e-38
"2481","PLA2G2A",8.62223468661352e-43,-3.19355930390326,0.014,0.071,1.38861089627911e-38
"2482","NCR3",1.14204324721544e-42,-5.45320672719646,0.001,0.048,1.83926064964046e-38
"2483","MAPKAPK2",1.19041136386632e-42,-0.885316684890546,0.025,0.089,1.91715750150671e-38
"2484","PRRX1",1.19385607691216e-42,2.44200208472417,0.026,0.007,1.92270521186703e-38
"2485","RABEP2",1.28407348826414e-42,-1.71711202329541,0.018,0.078,2.0680003528494e-38
"2486","OTUB1",1.28571364150421e-42,-0.226584602166769,0.139,0.25,2.07064181964253e-38
"2487","CD40LG",1.35338160927608e-42,-4.74508117840281,0.002,0.051,2.17962108173912e-38
"2488","SAT2",1.36128642599031e-42,1.01762448648755,0.334,0.276,2.1923517890574e-38
"2489","HOOK2",1.37556686430701e-42,-0.44421283739274,0.057,0.137,2.21535043496644e-38
"2490","PNKP",1.43693026705727e-42,-0.655509712062651,0.059,0.139,2.31417619509573e-38
"2491","MLEC",1.43907561328892e-42,-0.343199017907096,0.139,0.247,2.31763127520181e-38
"2492","ATP1B1",1.44113747042021e-42,0.723972611438138,0.246,0.174,2.32095189611175e-38
"2493","MARVELD3",1.46942690473433e-42,-2.80697624753555,0.004,0.054,2.36651203007464e-38
"2494","BCL2L11",1.47102829641327e-42,-1.88557370917359,0.012,0.067,2.36909107137357e-38
"2495","CRB3",1.57700617023983e-42,-4.80479818950733,0.001,0.048,2.53976843717125e-38
"2496","MAGED2",1.57788506589094e-42,0.807585823310276,0.316,0.244,2.54118389861736e-38
"2497","TMEM50B",1.73718404883146e-42,1.34404947614574,0.233,0.17,2.79773491064307e-38
"2498","PPP6R1",1.74927937813427e-42,-1.76200476854241,0.015,0.073,2.81721443848524e-38
"2499","CERS6",2.10324125993144e-42,-1.20940385867434,0.016,0.075,3.38727004911959e-38
"2500","MFAP4",2.10900772231702e-42,-2.30383787584547,0.072,0.146,3.39655693679156e-38
"2501","GDF15",2.12932036070149e-42,-2.67152313556107,0.014,0.07,3.42927044090975e-38
"2502","DNAJB2",2.13738398029333e-42,1.64458663626133,0.152,0.095,3.44225690026241e-38
"2503","BST1",2.16250295184733e-42,2.30891916880727,0.06,0.026,3.48271100395012e-38
"2504","SEC61A1",2.57356712396779e-42,-0.322790977364672,0.078,0.167,4.14472985315013e-38
"2505","GTDC1",2.57826177008925e-42,1.79597971735466,0.087,0.043,4.15229058072873e-38
"2506","RPA3",2.74551059124729e-42,-0.237829099285324,0.097,0.193,4.42164480720375e-38
"2507","EHF",2.77964447835432e-42,-7.24300913447042,0,0.047,4.47661743238963e-38
"2508","AOAH",2.94685718849202e-42,-4.78102986719696,0.001,0.049,4.7459135020664e-38
"2509","BRWD1",2.96636803537482e-42,-0.529516265530106,0.073,0.158,4.77733572097115e-38
"2510","DOK1",2.97463858308593e-42,1.76089546163538,0.085,0.042,4.79065543805989e-38
"2511","NUP98",3.05065445523468e-42,-1.01293574499505,0.033,0.101,4.91307900015544e-38
"2512","CFLAR",3.29647113971782e-42,-0.356707183454277,0.137,0.244,5.30896677051554e-38
"2513","MYO1A",3.39029911322406e-42,-4.46019126158046,0.001,0.048,5.46007672184735e-38
"2514","INO80C",3.48831911406119e-42,-0.869913236189278,0.024,0.088,5.61793793319555e-38
"2515","TMC6",3.53731047528477e-42,-0.782202530678858,0.071,0.153,5.69683852044612e-38
"2516","DMKN",3.59849631148011e-42,-1.83317111051977,0.01,0.064,5.79537830963872e-38
"2517","HOXA10",3.62547284763377e-42,-3.0414428856992,0.005,0.055,5.83882402111419e-38
"2518","DARS",3.93786206344334e-42,-0.277889696664792,0.117,0.22,6.3419268531755e-38
"2519","HABP4",3.94238703548139e-42,1.90128693400364,0.056,0.023,6.34921432064278e-38
"2520","PACS1",4.09012913949462e-42,-1.88885517631403,0.016,0.074,6.58715297915609e-38
"2521","MPC2",4.5112664622588e-42,-0.264264130707302,0.179,0.296,7.2653946374678e-38
"2522","MYCBP",4.88757597474012e-42,-1.08047629287282,0.022,0.084,7.87144110731897e-38
"2523","GIT2",5.12180292307235e-42,-1.12068386789069,0.035,0.103,8.24866360760803e-38
"2524","BIN3",5.56537010773416e-42,1.70663746674861,0.109,0.06,8.96302855850587e-38
"2525","FGFR1OP2",5.66865893901331e-42,-0.323090749412473,0.114,0.214,9.12937522128094e-38
"2526","CAP1",6.2634146361763e-42,0.871273955039345,0.423,0.384,1.00872292715619e-37
"2527","ALDH3B1",6.27794076032061e-42,2.52479157664649,0.038,0.013,1.01106235944963e-37
"2528","SLC26A3",6.36274005898388e-42,-6.20633622529097,0.002,0.05,1.02471928649935e-37
"2529","EPB41L4A-AS1",6.40564159440502e-42,-0.328714925362954,0.122,0.225,1.03162857877893e-37
"2530","HIC1",6.45227340171877e-42,-2.87456641846286,0.007,0.058,1.03913863134681e-37
"2531","IPO7",6.52852550083122e-42,-0.627899784822481,0.046,0.12,1.05141903190887e-37
"2532","BDH1",6.5990677057961e-42,-1.82991636380305,0.009,0.062,1.06277985401846e-37
"2533","RPS6KB2",7.30735763101736e-42,-0.426744376064415,0.066,0.149,1.17684994647535e-37
"2534","DDX24",7.32541725895217e-42,-0.335839215572201,0.25,0.383,1.17975844955425e-37
"2535","DHRS11",7.42349391515307e-42,-1.28185856000573,0.021,0.083,1.1955536950354e-37
"2536","NR4A3",7.4365084839859e-42,-2.62163392482433,0.012,0.066,1.19764969134593e-37
"2537","ARRB2",7.48993036550161e-42,-0.959094107338006,0.06,0.137,1.20625328536403e-37
"2538","LMO7",7.92323792736299e-42,-1.55708619709376,0.014,0.072,1.27603746820181e-37
"2539","LAP3",8.16937481142271e-42,1.80056564344824,0.211,0.153,1.31567781337963e-37
"2540","VAV1",8.69490459246703e-42,-5.08787528364486,0.001,0.047,1.40031438461682e-37
"2541","STIM2",8.727603434909e-42,-1.01648529516765,0.027,0.091,1.40558053319209e-37
"2542","MSRA",8.99102047501912e-42,-1.3902902999105,0.019,0.079,1.44800384750183e-37
"2543","DCK",9.92925176567532e-42,-0.842290269004362,0.062,0.14,1.59910599686201e-37
"2544","ARHGAP17",1.06378834024629e-41,-1.04075656669333,0.03,0.095,1.71323112196665e-37
"2545","CORO1B",1.07506869768911e-41,-0.445880687576144,0.129,0.232,1.73139813762831e-37
"2546","LENG8",1.13684438285777e-41,-0.380829277115703,0.07,0.155,1.83088787859244e-37
"2547","BCLAF1",1.29115887723996e-41,-0.254883891568675,0.214,0.342,2.07941137179496e-37
"2548","EGR3",1.29777136107531e-41,1.60739244856565,0.071,0.033,2.09006077701179e-37
"2549","CMC2",1.36187647342169e-41,-0.341440404770476,0.083,0.171,2.19330206044564e-37
"2550","LEF1",1.59546262097033e-41,-2.62673975614119,0.016,0.072,2.56949255107272e-37
"2551","LAIR1",1.61559305256019e-41,-2.85100071379628,0.007,0.058,2.60191261114819e-37
"2552","IL18",1.64627952790382e-41,-5.6854805068242,0.001,0.047,2.6513331796891e-37
"2553","AP1B1",1.68543260692105e-41,-1.17201959486081,0.027,0.091,2.71438921344635e-37
"2554","KIF2A",1.73970870764336e-41,-0.579215247069109,0.061,0.141,2.80180087365963e-37
"2555","MAP7",1.79036970646704e-41,-3.24045234168548,0.002,0.049,2.88339041226518e-37
"2556","MFSD10",1.79322895097057e-41,1.32813740774851,0.234,0.172,2.8879952255381e-37
"2557","HERPUD2",2.067486222007e-41,-0.748867524125791,0.063,0.141,3.32968656054228e-37
"2558","MAP2K2",2.3371169256292e-41,-0.383392998265628,0.095,0.188,3.76392680872583e-37
"2559","TOB1",2.49745043162169e-41,1.26244869204077,0.228,0.163,4.02214392012673e-37
"2560","MRPS16",2.74439277795863e-41,-0.192006042912677,0.098,0.194,4.41984456890237e-37
"2561","DDT",2.78731720728383e-41,-0.214096915794804,0.198,0.323,4.4889743623306e-37
"2562","ZC3H12A",2.91687937408779e-41,-1.17195206582505,0.042,0.112,4.69763423196838e-37
"2563","PPP1R14D",3.12738255915173e-41,-4.02318319604448,0.001,0.048,5.03664961151385e-37
"2564","NEXN",3.14880137693359e-41,-3.4904512491563,0.006,0.055,5.07114461755155e-37
"2565","SF3B5",3.62031415275038e-41,-0.163873472968907,0.279,0.427,5.83051594300449e-37
"2566","ASB2",3.82376131579844e-41,-6.0339075620556,0.001,0.047,6.15816759909339e-37
"2567","ARHGAP31",4.18841760380978e-41,2.03540285426398,0.054,0.022,6.74544655093564e-37
"2568","FRZB",4.2740025655737e-41,-2.29839504393813,0.017,0.075,6.88328113185644e-37
"2569","RBM33",4.35507732521404e-41,-0.665905155983623,0.052,0.127,7.01385203225721e-37
"2570","ACYP1",4.509598369809e-41,-0.757361566346319,0.026,0.09,7.26270817457739e-37
"2571","SNX2",4.52577707235232e-41,-0.38568205762438,0.131,0.233,7.28876397502342e-37
"2572","GIMAP2",4.54636446074829e-41,-1.87813725365595,0.022,0.081,7.32191996403512e-37
"2573","PLAUR",4.67715007514727e-41,0.838737262320235,0.125,0.071,7.53255019602468e-37
"2574","TUBB3",4.6977086850285e-41,0.803115972609097,0.049,0.019,7.56565983723839e-37
"2575","TTLL4",4.7675052609324e-41,2.61719819182625,0.045,0.017,7.67806722273164e-37
"2576","ATAD2",4.79307145384709e-41,-2.74980023234073,0.005,0.054,7.71924157642074e-37
"2577","PRPF40A",4.8672610544493e-41,-0.205127904456399,0.148,0.258,7.83872392819061e-37
"2578","CDC14A",4.94764201529408e-41,-2.95556224455473,0.008,0.059,7.96817746563111e-37
"2579","TDP2",4.94918515676701e-41,-0.858484255936503,0.063,0.142,7.97066269497327e-37
"2580","PPP1R14A",4.99554889575562e-41,-1.27974343492272,0.035,0.101,8.04533149661443e-37
"2581","GJB1",5.32744827714705e-41,-4.2462199110536,0.001,0.047,8.57985545034532e-37
"2582","TXNDC11",5.39004439337338e-41,-0.903991710798751,0.046,0.118,8.68066649552782e-37
"2583","MPC1",5.96763722741632e-41,1.29416459109866,0.253,0.192,9.61087975475399e-37
"2584","ABCC3",6.31413687872522e-41,-2.48575280544157,0.009,0.062,1.0168917443187e-36
"2585","PDS5A",6.4159958995154e-41,-0.576104023884741,0.048,0.122,1.03329613961695e-36
"2586","SLFN12",6.45427096211647e-41,2.08818917896141,0.05,0.02,1.03946033844886e-36
"2587","DDAH2",7.37795166617133e-41,1.153378449956,0.281,0.219,1.18821911583689e-36
"2588","STK10",7.38032641576935e-41,-1.31931388095244,0.032,0.096,1.18860156925965e-36
"2589","EIF4G1",7.68297812694577e-41,-0.372240210860681,0.073,0.157,1.23734362734462e-36
"2590","CD14",7.68960132031408e-41,0.827973104922126,0.078,0.037,1.23841029263658e-36
"2591","HSPB6",8.58047561781072e-41,-4.02442064279621,0.004,0.052,1.38188559824842e-36
"2592","PMPCB",8.72044947983319e-41,-0.262943312220749,0.105,0.201,1.40442838872714e-36
"2593","RDH10",9.08731463919028e-41,1.81444545826425,0.094,0.05,1.46351202264159e-36
"2594","RBBP4",9.30758708702808e-41,-0.174769910301611,0.154,0.268,1.49898690036587e-36
"2595","DIAPH2",9.63690033509199e-41,-1.56706412704086,0.016,0.072,1.55202279896656e-36
"2596","MUC4",1.03461265771172e-40,-4.39182959510876,0.003,0.05,1.66624368524473e-36
"2597","DDC",1.06371667070352e-40,-4.85463715277865,0.001,0.047,1.71311569816802e-36
"2598","GATA6",1.09977735952499e-40,-4.64409947896626,0.001,0.047,1.771191437515e-36
"2599","ZC3HAV1",1.13215925259151e-40,-0.696123822927675,0.11,0.2,1.82334247629862e-36
"2600","HERC1",1.13579864644529e-40,-0.910673279125575,0.042,0.112,1.82920372010014e-36
"2601","SRSF10",1.14273783846629e-40,-0.268878387094684,0.21,0.334,1.84037928884996e-36
"2602","NFAT5",1.21396988029843e-40,-0.787706214918025,0.047,0.12,1.95509849222063e-36
"2603","APEH",1.24570330002845e-40,-0.696442455517351,0.041,0.112,2.00620516469581e-36
"2604","IGKV1-5",1.44183265366793e-40,-7.74924132335261,0.004,0.052,2.3220714887322e-36
"2605","MRPS33",1.56301204814314e-40,-0.181259389267226,0.11,0.209,2.51723090353452e-36
"2606","MEP1A",1.57224046745635e-40,-4.02018490060743,0.001,0.047,2.53209327283845e-36
"2607","STAP1",1.57534760071545e-40,-4.35010842750648,0.001,0.047,2.53709731095223e-36
"2608","MB21D2",1.60977785822213e-40,2.55977739210633,0.047,0.018,2.59254724066674e-36
"2609","SULT1B1",1.62929020933269e-40,-3.17344571511136,0.003,0.05,2.6239718821303e-36
"2610","RAN",1.70987425708966e-40,-0.277124043480785,0.385,0.532,2.7537524910429e-36
"2611","SLC16A7",1.732814368054e-40,-2.73613891562111,0.005,0.054,2.79069753975097e-36
"2612","VILL",1.85990449537795e-40,-1.77996897879968,0.012,0.066,2.99537618980619e-36
"2613","RASSF2",1.97772622280008e-40,-4.11241593728658,0.002,0.048,3.18512808181953e-36
"2614","REV3L",2.00499775467248e-40,-0.669405501909049,0.05,0.124,3.22904888390003e-36
"2615","CENPF",2.00749656190819e-40,-4.22133734874873,0.004,0.051,3.23307321295315e-36
"2616","NMT1",2.17205249271456e-40,1.45476221377042,0.167,0.109,3.4980905395168e-36
"2617","FHIT",2.18400432550023e-40,-1.43019471942429,0.014,0.069,3.51733896621813e-36
"2618","FNBP4",2.21347084185911e-40,-0.356407930480235,0.136,0.239,3.5647947908141e-36
"2619","MAP4K2",2.42187957049456e-40,-2.45124666510386,0.009,0.06,3.90043704828149e-36
"2620","CSRNP1",2.46312428510368e-40,-0.66293316150776,0.128,0.223,3.96686166115947e-36
"2621","PRR15",2.90472881216896e-40,-5.01299838778933,0.001,0.045,4.67806575199811e-36
"2622","UAP1",2.9285093114375e-40,-0.524772048913571,0.057,0.134,4.7163642460701e-36
"2623","IGHD",3.02627479344694e-40,-7.50943804578689,0,0.045,4.87381555484629e-36
"2624","IGKV4-1",3.03751171177333e-40,-6.35869012813613,0.013,0.066,4.89191261181095e-36
"2625","PHLDA2",3.08666142111726e-40,-1.41707690969927,0.039,0.105,4.97106821870934e-36
"2626","CRTAP",3.1164012109572e-40,-0.488694247157288,0.089,0.177,5.01896415024657e-36
"2627","ZNF33A",3.22682508649331e-40,-0.892290994447766,0.03,0.095,5.19680180179747e-36
"2628","CUL3",3.29793248787472e-40,-0.551096007679467,0.045,0.116,5.31132027172224e-36
"2629","CARD11",3.30744940988389e-40,-7.70010744842597,0,0.045,5.326647274618e-36
"2630","PIK3CG",3.71764042277402e-40,-5.40465545424662,0.001,0.046,5.98725990087755e-36
"2631","ADSS",3.74243908882012e-40,-0.56604053079603,0.067,0.147,6.0271981525448e-36
"2632","FKBP7",4.08297275029206e-40,1.62657745705067,0.12,0.069,6.57562761434537e-36
"2633","BOD1L1",4.20886689639586e-40,-0.494722242060474,0.062,0.141,6.77838013664553e-36
"2634","CNTRL",4.32984809265581e-40,-0.865473060480029,0.036,0.102,6.97322035322218e-36
"2635","CNDP2",4.87971043820232e-40,-0.338711125178327,0.068,0.149,7.85877366072483e-36
"2636","ZCCHC7",4.90234589976433e-40,-0.58115730653606,0.067,0.146,7.89522807157045e-36
"2637","FLOT2",5.18402675327302e-40,-0.855817339192868,0.041,0.11,8.3488750861462e-36
"2638","MCL1",5.86804283600545e-40,-0.461438249669981,0.36,0.495,9.45048298738678e-36
"2639","CYSLTR1",5.8840585320252e-40,-4.19440715387347,0.002,0.048,9.47627626582658e-36
"2640","ANXA13",5.90317761832555e-40,-5.61120022880281,0.001,0.046,9.50706755431329e-36
"2641","PAG1",6.05786144076092e-40,-0.667139110187031,0.059,0.135,9.75618585034546e-36
"2642","CR2",6.20034898369767e-40,-5.44672107880496,0.001,0.046,9.9856620382451e-36
"2643","ORAI2",6.28408762055106e-40,-0.891597502391736,0.048,0.12,1.01205231128975e-35
"2644","FNTA",6.49988828968592e-40,1.21004786210089,0.257,0.196,1.04680700905392e-35
"2645","ZNF703",6.76470644894449e-40,-1.00652983600832,0.02,0.078,1.08945597360251e-35
"2646","SLC7A6",6.76967657344452e-40,-2.49480566485683,0.008,0.059,1.09025641215324e-35
"2647","GFER",7.19660985525249e-40,-0.574878086870631,0.048,0.121,1.15901401718841e-35
"2648","IRAK4",7.22695733837468e-40,-1.19650190795251,0.029,0.091,1.16390147934524e-35
"2649","PBXIP1",7.54470053002734e-40,-0.869997469926014,0.079,0.159,1.2150740203609e-35
"2650","SCRN1",8.18322778522656e-40,2.11160690751205,0.064,0.029,1.31790883481074e-35
"2651","IGHG1",8.21718018774851e-40,-5.9228198785215,0.016,0.071,1.3233768692369e-35
"2652","PCK2",8.54437848530963e-40,-1.24498411835262,0.019,0.077,1.37607215505912e-35
"2653","APOBR",8.69310423452789e-40,-4.58621110776937,0.001,0.045,1.40002443697072e-35
"2654","BOLA3",9.09418088657203e-40,-0.22637288470849,0.073,0.158,1.46461783178243e-35
"2655","CCSER2",9.17844047716839e-40,1.28442276627772,0.182,0.121,1.47818783884797e-35
"2656","SRSF9",9.37911190853879e-40,-0.152609188941311,0.228,0.36,1.51050597287017e-35
"2657","DAP3",9.59378351946125e-40,-0.357146050719762,0.1,0.192,1.54507883580923e-35
"2658","PTPDC1",9.74910357148787e-40,2.19732330792732,0.052,0.022,1.57009313018812e-35
"2659","CCDC47",9.90682735539071e-40,1.39934283439645,0.212,0.153,1.59549454558567e-35
"2660","PRPF38B",9.95120208103498e-40,-0.238357875041041,0.208,0.331,1.60264109515068e-35
"2661","RBM25",9.99838570268909e-40,-0.106570409795007,0.241,0.38,1.61024001741808e-35
"2662","PDCD2",1.176161523378e-39,-0.275815015899861,0.091,0.182,1.89420813340027e-35
"2663","THBS3",1.21665557557154e-39,2.18863808785626,0.045,0.017,1.95942380445797e-35
"2664","CAMTA1",1.26876544371106e-39,1.14665800327078,0.314,0.262,2.04334674709666e-35
"2665","ITGB2-AS1",1.5372602966953e-39,-5.83187172506612,0.001,0.044,2.47575770782779e-35
"2666","KIF22",1.59569799075112e-39,-0.59793928125327,0.046,0.117,2.56987161410468e-35
"2667","SORT1",1.61080704642113e-39,2.42076454687689,0.07,0.033,2.59420474826122e-35
"2668","CLECL1",1.83401157841972e-39,-4.8539106853393,0.001,0.045,2.95367564704495e-35
"2669","TBC1D4",1.94107372646919e-39,-3.49175039857726,0.004,0.051,3.12609923647863e-35
"2670","PCBD1",2.07623794685814e-39,-0.210691004075437,0.099,0.192,3.34378121341504e-35
"2671","TBC1D22A",2.33244057507245e-39,-1.07695124018198,0.026,0.087,3.75639554615418e-35
"2672","TXK",2.60542923261228e-39,-4.6955556061681,0.002,0.047,4.19604377912208e-35
"2673","TOP2A",2.63228825988999e-39,-3.75202061757742,0.003,0.049,4.23930024255283e-35
"2674","MCTS1",2.80608329725841e-39,-0.184831682615995,0.104,0.199,4.51919715023468e-35
"2675","FOXP2",2.87648239657588e-39,-5.72290353149962,0.001,0.044,4.63257489968546e-35
"2676","LIPH",2.99877851576122e-39,-6.15015651793071,0,0.044,4.82953279963344e-35
"2677","GINS2",3.03598256263074e-39,-2.58813046323916,0.005,0.052,4.88944991711681e-35
"2678","ARSI",3.04372241103021e-39,2.36299258617415,0.031,0.01,4.90191494296415e-35
"2679","TMED2",3.05696417622983e-39,0.866132329833296,0.417,0.384,4.92324080581814e-35
"2680","ABCA3",3.27151572483959e-39,2.87353322686632,0.019,0.005,5.26877607485415e-35
"2681","ZNF462",3.34732025791046e-39,2.19014534484244,0.08,0.04,5.3908592753648e-35
"2682","THOC3",3.43123781931901e-39,-0.531366992147489,0.051,0.124,5.52600850801327e-35
"2683","UTY",3.44748268169508e-39,-2.97776711089132,0.004,0.051,5.55217085886993e-35
"2684","KREMEN1",3.79026242545152e-39,1.83832207361854,0.064,0.029,6.10421763618968e-35
"2685","PODN",4.05834963108244e-39,2.23381851352235,0.027,0.008,6.53597208085827e-35
"2686","SFXN4",4.07274208120969e-39,-1.28927535515068,0.017,0.073,6.5591511217882e-35
"2687","NLGN2",4.5892778643842e-39,2.22715455507968,0.037,0.013,7.39103200059075e-35
"2688","RAMP2",4.62671227282486e-39,-2.11718357016934,0.024,0.082,7.45132011538444e-35
"2689","ENTPD1",4.62780453275024e-39,-1.80391849490439,0.023,0.08,7.45307919999426e-35
"2690","TUBA1C",5.51903813167475e-39,-0.526132497151095,0.092,0.178,8.88841091106219e-35
"2691","CXCR3",5.54781673074412e-39,-6.18665664557013,0.001,0.044,8.9347588448634e-35
"2692","SULF2",6.07492696334114e-39,-2.07581370747095,0.011,0.062,9.7836698744609e-35
"2693","LAG3",6.35933214198459e-39,-4.03755179918028,0.004,0.05,1.02417044146662e-34
"2694","NT5DC2",6.37127413199055e-39,2.21099098833527,0.096,0.052,1.02609369895708e-34
"2695","CHCHD1",7.05580141755512e-39,-0.118532346695276,0.083,0.17,1.13633681829725e-34
"2696","ZNF593",7.0802591032791e-39,-0.197652365375486,0.08,0.165,1.1402757285831e-34
"2697","SLA2",7.99222169179716e-39,-5.73711672812856,0.001,0.045,1.28714730346393e-34
"2698","SESN1",8.43140857851088e-39,-1.32089947247502,0.025,0.084,1.35787835156918e-34
"2699","CHCHD5",8.65828134587337e-39,-0.123611136349721,0.091,0.181,1.39441621075291e-34
"2700","RASSF6",9.11030899367925e-39,-5.30168636057362,0.001,0.044,1.46721526343204e-34
"2701","TSPAN12",9.18620375094943e-39,-2.33497088287683,0.006,0.054,1.47943811409041e-34
"2702","LTBP3",9.44992845582992e-39,1.60117023991149,0.149,0.094,1.52191097781141e-34
"2703","TMC5",9.54311436607782e-39,-3.34087307679211,0.003,0.049,1.53691856865683e-34
"2704","DDX5",1.01970880230814e-38,0.331754260613713,0.733,0.771,1.64224102611727e-34
"2705","INPP1",1.06238606642919e-38,1.763005275651,0.121,0.071,1.71097275998422e-34
"2706","SLC4A4",1.09666143946212e-38,-5.95581138545993,0,0.043,1.76617324825375e-34
"2707","SDF2L1",1.11743182120261e-38,-0.494390259411882,0.153,0.255,1.7996239480468e-34
"2708","SUDS3",1.15437427790549e-38,-0.495502994542959,0.053,0.126,1.85911977456678e-34
"2709","UNC13D",1.17464219224846e-38,-2.32696111762958,0.009,0.059,1.89176125061615e-34
"2710","CLIC3",1.26948347479574e-38,-6.0302946416297,0.001,0.044,2.04450313615854e-34
"2711","PRKG1",1.26962528658942e-38,-3.49274158933714,0.005,0.052,2.04473152405225e-34
"2712","FAM110A",1.34659423210554e-38,-2.84262539823359,0.006,0.054,2.16869001080597e-34
"2713","TIMM9",1.40342201811371e-38,-0.401189298058515,0.071,0.152,2.26021116017214e-34
"2714","TPM1",1.450734227936e-38,-1.50082035381062,0.182,0.272,2.33640747409092e-34
"2715","ARHGAP26",1.56860113372781e-38,-2.70104406998622,0.007,0.054,2.52623212586864e-34
"2716","NEDD9",1.66321394752702e-38,-0.732746833730517,0.056,0.129,2.67860606249227e-34
"2717","TMEM54",1.72320919697944e-38,-1.92334288605348,0.038,0.101,2.7752284117354e-34
"2718","CCDC6",2.3649577970534e-38,-0.859154979628757,0.026,0.086,3.8087645321545e-34
"2719","KLF13",2.40959868653184e-38,-0.511152947606988,0.056,0.13,3.88065868465952e-34
"2720","CEBPD",2.58989158269143e-38,0.548359756193227,0.276,0.204,4.17102039392454e-34
"2721","LSM14A",2.71533123947439e-38,-0.18662264638165,0.152,0.26,4.3730409611735e-34
"2722","B4GALT3",2.75229237843916e-38,-0.421987491510916,0.054,0.127,4.43256687547627e-34
"2723","EHD1",2.86282408375594e-38,-0.663488418750193,0.054,0.126,4.61057818688895e-34
"2724","STS",2.95251942243759e-38,2.54935668030117,0.029,0.009,4.75503252983574e-34
"2725","UBL5",2.97219369842476e-38,0.569470813199117,0.577,0.595,4.78671795131307e-34
"2726","PSMC2",2.99452540657779e-38,1.43692082776998,0.202,0.144,4.82268316729353e-34
"2727","NUP50",3.03557961820127e-38,-0.801945465252427,0.033,0.096,4.88880097511314e-34
"2728","CLMP",3.08418812631892e-38,-4.24871922839522,0.002,0.045,4.96708497743662e-34
"2729","ROR1",3.16439368959004e-38,2.18382762237332,0.051,0.021,5.09625603708477e-34
"2730","ZNF217",3.19489435904317e-38,-1.25528762733436,0.021,0.077,5.14537736523903e-34
"2731","HSD17B8",3.93594344016083e-38,-0.527703750419501,0.032,0.096,6.33883691037902e-34
"2732","SLC1A5",3.9483022302454e-38,-0.604174319305156,0.041,0.108,6.35874074181021e-34
"2733","BET1L",4.24658201551585e-38,-0.931494948524962,0.024,0.083,6.83912033598827e-34
"2734","POF1B",4.50264153284006e-38,-4.15888494303799,0.001,0.043,7.25150418863891e-34
"2735","PPP3CC",4.70529524600694e-38,-0.759652901952469,0.062,0.136,7.57787799369417e-34
"2736","ATXN1",4.70884020150492e-38,-0.930707408571311,0.028,0.088,7.58358714452367e-34
"2737","SUPT6H",4.73712226940532e-38,-0.798022684207276,0.031,0.094,7.62913541487727e-34
